Entity Type,Medical Device,Regulatory Notes,Context_Multiplier,Estimate Repair Price (USD),Adjusted Estimate Repair Price (USD),Final Estimated Repair Price (USD),Estimate Purchase Price (USD),Annual Maintenance Cost (USD),"Total Cost of Ownership (5 Years, USD)"
Chiropractic clinic,Defibrillator (AED),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,960,4700,364.55,9000
Chiropractic clinic,Pulse oximeter,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,18250,1152.76,30250
Chiropractic clinic,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2875,29500,2223.94,47750
Chiropractic clinic,Video tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,17500,1347.15,30500
Chiropractic clinic,Suction,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,630,4500,420.14,8250
Chiropractic clinic,Microscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,570,4075,264.02,6750
Chiropractic clinic,Audiometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,690,4975,323.03,8250
Chiropractic clinic,Tympanometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,660,4400,335.92,7750
Acupuncture clinic,Examination table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,17750,1350.49,30750
Acupuncture clinic,Autoclave,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1575,7500,630.85,14500
Acupuncture clinic,ECG/EKG,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,500,3550,293.6,6250
Acupuncture clinic,Vital signs monitor,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2400,16500,1301.93,29000
Acupuncture clinic,Doppler/ABI,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,17750,1279.64,30250
Acupuncture clinic,Spirometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,17750,1228.31,30000
Acupuncture clinic,Thermometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2400,16500,1175.28,28500
Acupuncture clinic,Otoscope/Ophthalmoscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2375,16750,1234.36,28750
Acupuncture clinic,Centrifuge,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,670,4075,277.74,7250
Acupuncture clinic,Refrigerator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,800,5500,352.03,9250
Acupuncture clinic,Defibrillator (AED),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,980,4800,374.82,9000
Acupuncture clinic,Pulse oximeter,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2475,17000,1129.11,28750
Acupuncture clinic,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2875,29000,1895.61,45750
Acupuncture clinic,Video tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,17000,1147.4,29000
Acupuncture clinic,Suction,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,610,4200,436.12,8000
Acupuncture clinic,Microscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,570,3875,280.51,6750
Acupuncture clinic,Audiometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,680,4575,311.45,7750
Acupuncture clinic,Tympanometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,670,4575,325.95,8000
Naturopathy center,Anesthesia machine,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,18250,1407.18,31500
Naturopathy center,Operating table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1600,7750,691.4,15250
Naturopathy center,Surgical lights,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1000,5250,454.19,10000
Naturopathy center,Patient monitor,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,730,5250,401.85,9000
Naturopathy center,Infusion pumps,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,17250,1113.5,29000
Naturopathy center,Electrosurgical unit (ESU),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1075,5250,534.21,10500
Naturopathy center,Suction regulator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,240,1700,171.03,3150
Naturopathy center,Autoclave,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1600,8000,679.15,15500
Naturopathy center,Washer-disinfector,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1425,8250,850.79,16000
Naturopathy center,Endoscopy tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2775,28000,1946.67,44750
Naturopathy center,Insufflator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,980,9750,614.73,15250
Naturopathy center,C-arm fluoroscopy (orthopedics),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,7750,79000,7252.45,134500
Naturopathy center,Tourniquet system,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,17500,1112.36,29250
Naturopathy center,MRI scanner,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,20250,502500,47707.4,791500
Naturopathy center,CT scanner,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,10000,173500,16619.83,281500
Naturopathy center,Digital X-ray,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,3875,37500,3551.18,65000
Naturopathy center,Mammography system,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,4900,56000,5286.45,94500
Naturopathy center,Ultrasound,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1350,11250,913.84,19250
Naturopathy center,DEXA (bone densitometer),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,17500,1178.56,29750
Naturopathy center,PACS workstation,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1350,9500,626.57,16000
Naturopathy center,Hemodialysis machine,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2875,36000,2440.43,55500
Naturopathy center,Water purification system (RO),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2825,33250,2121.9,51000
Naturopathy center,Dialyzer reprocessing*,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2775,19250,1357.36,33000
Naturopathy center,Weighing scale,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2575,18500,1301.58,31500
Naturopathy center,Heparin pump,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,16750,1065.93,28500
Naturopathy center,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2850,27750,2056.99,45250
Naturopathy center,Video tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,18250,1233.1,30750
Naturopathy center,Suction,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,620,4525,485.2,8500
Naturopathy center,Microscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,560,3900,270.21,6750
Naturopathy center,Audiometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,660,4825,335.9,8250
Naturopathy center,Tympanometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,670,4875,317.76,8250
Naturopathy center,Gastroscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2825,20250,1388.4,34250
Naturopathy center,Colonoscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2900,20000,1497.83,34750
Naturopathy center,Light source,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1000,10250,683.47,16250
Naturopathy center,ESU,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1075,5250,485.6,10250
Naturopathy center,C-arm,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,8000,83500,7991.48,143500
Ayurveda center,Anesthesia machine,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,17750,1523.81,31500
Ayurveda center,Operating table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1575,8250,803.59,16250
Ayurveda center,Surgical lights,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,990,5000,408.02,9500
Ayurveda center,Patient monitor,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,730,4850,416.98,8750
Ayurveda center,Infusion pumps,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2550,18250,1291.57,31000
Ayurveda center,Electrosurgical unit (ESU),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1075,5750,586,11250
Ayurveda center,Suction regulator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,250,1700,183.56,3250
Ayurveda center,Autoclave,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1550,8000,769.83,15750
Ayurveda center,Washer-disinfector,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1425,8250,770.88,15750
Ayurveda center,Endoscopy tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2850,27500,1935.6,44250
Ayurveda center,Insufflator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,990,10000,652.66,15750
Ayurveda center,C-arm fluoroscopy (orthopedics),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,7750,74500,7548.95,131500
Ayurveda center,Tourniquet system,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,17500,1295.94,30250
Ayurveda center,MRI scanner,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,20750,499000,49003.86,796000
Ayurveda center,CT scanner,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,10500,194500,21052.05,326000
Ayurveda center,Digital X-ray,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,3900,37250,3795.98,66000
Ayurveda center,Mammography system,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,5250,64500,6831.84,112000
Ayurveda center,Ultrasound,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1325,10500,851.72,18000
Ayurveda center,DEXA (bone densitometer),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2575,18750,1242.55,31500
Ayurveda center,PACS workstation,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1375,9500,658.16,16250
Ayurveda center,Hemodialysis machine,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2850,32750,2195.71,51000
Ayurveda center,Water purification system (RO),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2775,31750,2367.56,50500
Ayurveda center,Dialyzer reprocessing*,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2750,19000,1266.2,32250
Ayurveda center,Weighing scale,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,18000,1347.38,31000
Ayurveda center,Heparin pump,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2475,17750,1211.59,30000
Ayurveda center,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2875,27250,1775.33,43250
Ayurveda center,Video tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2475,17000,1147.64,29000
Ayurveda center,Suction,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,600,4050,397.48,7500
Ayurveda center,Microscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,560,3750,244.43,6250
Ayurveda center,Audiometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,670,4850,322.55,8250
Ayurveda center,Tympanometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,690,4700,324.27,8000
Ayurveda center,Gastroscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2750,19000,1205.75,32000
Ayurveda center,Colonoscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2800,19500,1234.58,32750
Ayurveda center,Light source,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1025,9750,617.93,15500
Ayurveda center,ESU,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1100,5750,547.08,11250
Ayurveda center,C-arm,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,7750,75000,7809.37,133500
Homeopathy clinic,Examination table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2575,18750,1402.27,32250
Homeopathy clinic,Autoclave,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1550,8000,681.89,15250
Homeopathy clinic,ECG/EKG,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,510,3475,288.89,6250
Homeopathy clinic,Vital signs monitor,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,18500,1358.62,31500
Homeopathy clinic,Doppler/ABI,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,17250,1314.89,30000
Homeopathy clinic,Spirometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,18250,1349.26,31250
Homeopathy clinic,Thermometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,18000,1349.57,31000
Homeopathy clinic,Otoscope/Ophthalmoscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,17000,1129.26,29000
Homeopathy clinic,Centrifuge,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,680,4250,303.41,7500
Homeopathy clinic,Refrigerator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,790,5750,392.95,9750
Homeopathy clinic,Defibrillator (AED),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,970,4900,420.3,9500
Homeopathy clinic,Pulse oximeter,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,17000,1281.54,29750
Homeopathy clinic,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2900,28750,2172.55,46750
Homeopathy clinic,Video tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2550,17000,1089.96,28750
